trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,363.00,167.58,-34.76,0.00,3.40,3.00,9.25,6.22,-0.11,-4.65,3.11,6.77,5:46,lane change,6.15,170.89,351,3,2,7.93,2.55,165.80,3.06,3.11,167.58,-34.76,150.44,-30.43,352,3,1,7.93,2.55,172.57,9.25,3.11,186.52,-34.95,169.23,-32.70,1.00,99.00,99.00,
Intersection_1_001.trj,365.00,106.66,-21.91,0.00,4.00,1.00,9.15,1.83,-7.15,-7.41,1.17,-3.25,6:07,rear end,8.02,170.00,347,10003,1,10.22,2.50,171.35,7.38,0.66,106.66,-21.91,84.95,-18.61,346,10003,1,6.04,2.40,168.09,9.15,1.17,123.34,-25.51,99.71,-20.52,1.00,99.00,99.00,
Intersection_1_001.trj,366.00,142.51,-35.28,0.00,0.20,3.00,15.70,10.55,-3.86,-3.86,7.10,-1.97,6:04,lane change,8.61,171.42,349,3,3,7.93,2.55,172.60,5.15,3.46,149.94,-36.24,139.69,-34.91,354,3,3,4.76,2.07,170.63,15.70,7.10,198.71,-42.57,147.46,-34.12,1.00,99.00,99.00,
Intersection_1_001.trj,371.00,112.66,-23.20,0.00,3.70,3.00,10.37,2.51,-1.26,-1.97,1.69,0.11,5:59,rear end,8.68,167.94,350,10003,1,4.76,2.07,167.88,10.37,1.69,112.66,-23.20,100.57,-20.60,351,10003,1,7.93,2.55,167.99,7.86,0.82,134.93,-27.93,110.83,-22.80,1.00,99.00,99.00,
Intersection_1_001.trj,371.00,121.99,-25.21,0.00,4.20,2.00,7.46,2.08,-0.34,-2.35,1.04,0.61,5:59,rear end,6.42,168.17,351,10003,1,7.93,2.55,167.82,5.38,1.04,121.99,-25.21,110.83,-22.80,352,10003,1,7.93,2.55,168.43,7.46,1.04,139.13,-28.74,123.60,-25.56,1.00,99.00,99.00,
Intersection_1_001.trj,372.00,127.77,-28.68,0.00,1.00,1.00,8.25,3.74,-0.46,-2.35,2.51,6.35,5:47,rear end,7.04,169.06,354,3,2,4.76,2.07,164.06,4.58,2.51,133.98,-31.20,114.44,-25.62,352,3,1,7.93,2.55,170.41,8.25,1.22,154.64,-30.80,123.60,-25.56,1.00,99.00,99.00,
Intersection_1_001.trj,374.00,30.75,-9.06,0.00,3.00,3.00,15.66,14.03,-2.95,-2.95,7.49,9.81,5:40,rear end,6.53,349.95,39,10,1,4.76,2.07,340.14,0.00,6.53,30.75,-9.06,42.29,-13.23,40,7,1,4.36,1.97,349.95,14.03,7.49,-34.72,2.55,31.04,-9.10,1.00,99.00,99.00,
Intersection_1_001.trj,376.00,148.61,-30.02,0.00,4.30,1.00,4.68,1.71,-3.26,-3.26,1.26,0.00,5:59,rear end,3.42,172.60,355,3,1,10.22,2.50,172.60,2.97,0.46,148.61,-30.02,145.95,-29.67,356,3,1,4.64,2.00,172.60,4.68,1.26,159.06,-31.37,155.72,-30.94,1.00,99.00,99.00,
Intersection_1_001.trj,373.00,127.83,-26.45,0.00,3.60,3.00,7.82,4.19,-2.27,-2.27,2.09,3.31,5:53,rear end,5.72,170.30,352,10003,1,7.93,2.55,168.05,3.64,2.09,127.83,-26.45,123.75,-25.59,353,3,1,7.93,2.55,171.35,7.82,2.09,148.61,-30.02,135.04,-27.95,1.00,99.00,99.00,
Intersection_1_001.trj,375.00,202.71,-37.69,0.00,3.10,2.00,10.17,9.43,-0.05,-3.20,6.91,9.50,5:41,lane change,7.66,172.35,357,3,2,4.64,2.00,163.10,0.75,6.91,205.09,-39.60,192.65,-35.82,361,3,1,10.22,2.50,172.60,10.17,2.52,233.42,-41.03,210.22,-38.02,1.00,99.00,99.00,
