class,probability,count
581,2.7820773518670267e-05,11
582,4.2995740892490416e-05,17
583,4.805406335043046e-05,19
584,6.575819195322063e-05,26
585,3.5408257205580345e-05,14
586,3.793741843455037e-05,15
587,2.7820773518670267e-05,11
588,2.276245106073022e-05,9
589,6.828735318219065e-05,27
590,1.7704128602790172e-05,7
591,1.5174967373820147e-05,6
592,1.5174967373820147e-05,6
593,4.2995740892490416e-05,17
594,2.0233289831760196e-05,8
595,5.5641547037340534e-05,22
596,6.069986949528059e-05,24
597,2.276245106073022e-05,9
598,3.2879095976610314e-05,13
599,2.7820773518670267e-05,11
600,4.046657966352039e-05,16
601,1.5174967373820147e-05,6
602,2.7820773518670267e-05,11
603,2.5291612289700245e-06,1
604,1.2645806144850122e-05,5
605,2.0233289831760196e-05,8
606,1.7704128602790172e-05,7
607,4.805406335043046e-05,19
608,5.058322457940049e-06,2
609,5.058322457940049e-06,2
610,2.5291612289700243e-05,10
611,4.046657966352039e-05,16
612,1.2645806144850122e-05,5
613,1.5174967373820147e-05,6
614,7.5874836869100735e-06,3
615,7.587483686910074e-05,30
616,2.276245106073022e-05,9
617,4.805406335043046e-05,19
618,4.552490212146044e-05,18
619,6.069986949528059e-05,24
620,1.2645806144850122e-05,5
621,1.7704128602790172e-05,7
622,1.7704128602790172e-05,7
623,2.7820773518670267e-05,11
624,2.5291612289700243e-05,10
625,2.5291612289700243e-05,10
626,1.7704128602790172e-05,7
627,2.7820773518670267e-05,11
628,2.5291612289700245e-06,1
629,5.817070826631056e-05,23
630,4.552490212146044e-05,18
631,3.5408257205580345e-05,14
632,3.5408257205580345e-05,14
633,5.817070826631056e-05,23
634,3.793741843455037e-05,15
635,3.5408257205580345e-05,14
636,1.2645806144850122e-05,5
637,2.7820773518670267e-05,11
638,7.334567564013071e-05,29
639,5.0583224579400486e-05,20
640,2.276245106073022e-05,9
641,1.0116644915880098e-05,4
642,5.0583224579400486e-05,20
643,3.793741843455037e-05,15
644,7.5874836869100735e-06,3
645,3.2879095976610314e-05,13
646,1.7704128602790172e-05,7
647,2.5291612289700243e-05,10
648,3.793741843455037e-05,15
649,4.2995740892490416e-05,17
650,7.5874836869100735e-06,3
651,8.093315932704078e-05,32
652,1.7704128602790172e-05,7
653,2.276245106073022e-05,9
654,3.2879095976610314e-05,13
655,1.0116644915880098e-05,4
656,1.2645806144850122e-05,5
657,5.817070826631056e-05,23
658,1.7704128602790172e-05,7
659,1.2645806144850122e-05,5
660,1.0116644915880098e-05,4
661,3.5408257205580345e-05,14
662,5.058322457940049e-06,2
663,2.5291612289700243e-05,10
664,6.32290307242506e-05,25
665,4.2995740892490416e-05,17
666,2.7820773518670267e-05,11
667,2.5291612289700243e-05,10
668,1.2645806144850122e-05,5
669,5.817070826631056e-05,23
670,3.2879095976610314e-05,13
