trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001-rs-w-jrude6.trj,264.00,68.95,-25.72,0.00,3.10,3.00,9.97,9.97,-1.33,-1.33,6.35,-0.05,6:00,rear end,6.35,172.60,596,3,3,4.92,2.34,172.65,0.00,6.35,68.95,-25.72,56.42,-24.10,598,3,3,7.93,2.55,172.60,9.97,3.62,116.47,-31.89,70.69,-25.95,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,273.00,30.22,-108.13,0.00,3.70,3.00,7.32,2.69,-1.43,-1.43,1.87,-0.20,6:00,rear end,5.45,82.46,267,5,3,18.12,2.55,82.55,4.63,0.82,30.22,-108.13,31.51,-98.27,268,5,3,7.93,2.55,82.34,7.32,1.87,26.78,-133.38,29.58,-112.55,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,276.00,27.88,-125.16,0.00,4.20,2.00,6.20,2.15,-6.99,-6.99,1.16,8.50,5:43,rear end,5.10,87.07,271,5,3,4.66,2.27,82.34,4.19,0.99,27.88,-125.16,28.41,-121.26,273,5,3,4.40,2.04,90.84,6.20,1.16,27.65,-135.29,27.55,-128.53,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,301.00,-6.06,-4.28,0.00,4.20,2.00,3.29,0.77,-0.19,-0.19,0.41,-6.31,6:13,rear end,2.91,348.88,28,10,1,4.21,2.00,352.21,2.58,0.36,-6.06,-4.28,3.45,-5.58,36,10008,1,4.01,1.85,345.90,3.29,0.41,-13.57,-2.52,-7.48,-4.05,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,255.00,-40.79,3.66,0.00,0.00,0.00,5.68,5.68,-1.14,-1.14,3.95,2.52,5:55,rear end,3.95,346.25,38,7,1,7.93,2.55,343.73,0.00,3.95,-40.79,3.66,-40.79,3.66,41,7,3,18.12,2.55,346.25,5.68,1.73,-67.39,12.06,-52.74,8.47,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,300.00,36.17,-86.04,0.00,3.70,3.00,9.86,6.56,-3.81,-8.07,4.63,0.00,5:59,rear end,5.23,82.34,281,5,2,7.93,2.55,82.34,3.29,1.93,36.17,-86.04,36.87,-80.80,282,5,2,4.21,2.00,82.34,9.86,4.63,33.61,-105.07,35.74,-89.26,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,305.00,-14.34,-2.30,0.00,5.00,2.00,3.88,0.84,0.00,0.00,0.63,-2.42,6:05,rear end,3.25,347.68,31,10008,1,10.22,2.50,348.40,3.05,0.21,-14.34,-2.30,-4.19,-4.39,37,10008,1,4.21,2.00,345.98,3.88,0.63,-26.43,0.70,-18.91,-1.18,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,251.00,36.36,-39.63,0.00,0.00,0.00,0.28,0.22,-0.18,-0.18,0.16,34.91,4:50,rear end,0.06,117.26,254,5,4,10.22,2.50,82.34,0.00,0.06,36.36,-39.63,36.36,-39.63,261,5,4,4.76,2.07,117.26,0.22,0.16,38.03,-33.37,38.03,-33.37,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,252.00,39.28,-40.41,0.00,0.00,0.00,2.43,2.40,-0.18,-0.18,1.73,33.46,4:53,lane change,1.76,82.53,257,5,3,10.22,2.50,82.34,2.43,0.67,39.28,-40.41,39.28,-40.41,261,5,4,4.76,2.07,115.80,0.04,1.73,38.01,-33.26,38.01,-33.26,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,307.00,-18.91,-1.18,0.00,4.30,3.00,5.21,1.35,0.00,0.00,0.95,-2.07,6:04,rear end,4.82,346.69,37,10008,1,4.21,2.00,348.27,3.88,0.95,-18.91,-1.18,0.10,-5.13,38,10008,1,7.93,2.55,346.20,5.21,0.40,-30.81,1.71,-15.22,-2.12,1.00,99.00,99.00,
